"","id","designer"
"683","171","(Uncredited)"
"684","15987","Richard Launius"
"685","15987","Kevin Wilson"
"686","70323","Richard Garfield"
"687","258210","Paolo Mori"
"688","177478","Koota Yamada"
"689","92415","Herve Marly"
"690","367150","Marco Maggi"
"691","367150","Francesco Nepitello"
"692","194594","Regis Bonnessee"
"693","322708","Kara Centell-Dunk"
"694","322708","Nathan I. Hajek"
"695","236191","Martin Wallace"
"696","215311","Rob Daviau"
"697","215311","Justin D. Jacobson"
"698","215311","Wolfgang Kramer"
"699","1","Karl-Heinz Schmiel"
"700","343905","Alexander Pfister"
"701","265736","Peter McPherson"
"702","31594","Stefan Feld"
"703","303057","Prospero Hall"
"704","303057","Peter Lee"
"705","21348","Alan R. Moon"
"706","33160","Carl de Visser"
"707","33160","Jarratt Gray"
"708","298069","John D. Clair"
"709","206480","Ananda Gupta"
"710","206480","Jason Matthews"
"711","144592","Etienne Espreman"
"712","198773","Vlaada Chvatil"
"713","256226","Michael Kiesling"
"714","128671","Aaron Dill"
"715","128671","John Kovaleski"
"716","128671","Sean Sweigart"
"717","166669","Andreas Seyfarth"
"718","293141","Richard Garfield"
"719","138161","Aaron Dill"
"720","138161","John Kovaleski"
"721","138161","Sean Sweigart"
"722","71","Francis Tresham"
"723","34219","Steve Finn"
"724","182134","Dominic Crapuchettes"
"725","182134","Dmitry Knorre"
"726","182134","Sergey Machin"
"727","186751","Benoit Vogt"
"728","292375","Kamil 'Sanex' Ciesla"
"729","292375","Robert Plesowicz"
"730","292375","Lukasz Wlodarczyk"
"731","329500","Laskas"
"732","329500","Jonny Pac"
"733","329500","Yoma"
"734","329500","Antonio Zax"
"735","17392","Ed Beach"
"736","318182","Nigel Buckle"
"737","318182","David Turczi"
"738","262543","Alex Hague"
"739","262543","Justin Vickers"
"740","262543","Wolfgang Warsch"
"741","170771","Simone Romano"
"742","170771","Nunzio Surace"
"743","229220","Kristian Amundsen Ostby"
"744","229220","Eilif Svensson"
"745","151347","D. Brad Talton, Jr."
"746","251658","Steven Aramini"
"747","251658","Danny Devine"
"748","251658","Paul Kluka"
"749","204305","Suzanne Goldberg"
"750","204305","Gary Grady"
"751","204305","Jerome Ropert"
"752","54625","Richard Halliwell"
"753","66188","Wolfgang Panning"
"754","66188","Marco Ruskowski"
"755","66188","Marcel Susselbeck"
"756","290484","Tom Mattson"
"757","290484","Marc Neidlinger"
"758","328565","Unai Rubio"
"759","62222","Richard Borg"
"760","100901","Kevin Lanzing"
"761","55670","Stefan Feld"
"762","355093","Ross Arnold"
"763","355093","Vladimir Suchy"
"764","40765","Christian Marcussen"
"765","161614","Brett Sobol"
"766","161614","Seth Van Orden"
"767","154809","Nuno Bizarro Sentieiro"
"768","154809","Paulo Soledade"
"769","27162","Andrea Chiarvesio"
"770","27162","Luca Iennaco"
"771","354934","Shem Phillips"
"772","334590","Wilhelm Su"
"773","316412","Maxime Rambourg"
"774","316412","Theo Riviere"
"775","215341","Mike Elliott"
"776","215341","Bryan Reese"
"777","215341","Mark Wootton"
"778","150","Jean du Poel"
"779","356033","Paolo Mori"
"780","124708","Jerry Hawthorne"
"781","156858","Philip duBarry"
"782","264241","Trevor Benjamin"
"783","264241","Brett J. Gilbert"
"784","18833","Reiner Knizia"
"785","18833","Eric M. Lang"
"786","18833","Christian T. Petersen"
"787","36932","Croc"
"788","121","Bill Eberle"
"789","121","Jack Kittredge"
"790","121","Peter Olotka"
"791","192153","Matt Leacock"
"792","192153","Chuck D. Yager"
"793","271601","Maikel Cheney"
"794","271601","Dr. Hans Joachim Hoh"
"795","271601","Tobias Immich"
"796","11170","Stephen Baker"
"797","11170","Rob Daviau"
"798","11170","Craig Van Ness"
"799","325635","Noah Cohen"
"800","325635","Rob Daviau"
