"","id","category"
"1006","20551","Economic"
"1007","20551","Medieval"
"1008","20551","Territory Building"
"1009","31481","Real-time"
"1010","31481","Science Fiction"
"1011","31481","Space Exploration"
"1012","31481","Transportation"
"1013","156546","Card Game"
"1014","156546","Humor"
"1015","156546","Mature / Adult"
"1016","156546","Party Game"
"1017","156546","Print & Play"
"1018","128621","Economic"
"1019","128621","Farming"
"1020","329839","Party Game"
"1021","329839","Word Game"
"1022","305096","Adventure"
"1023","305096","Prehistoric"
"1024","305096","Territory Building"
"1025","284653","Comic Book / Strip"
"1026","284653","Deduction"
"1027","284653","Spies / Secret Agents"
"1028","27708","Political"
"1029","27708","Wargame"
"1030","223321","Deduction"
"1031","223321","Murder / Mystery"
"1032","140620","Age of Reason"
"1033","140620","American West"
"1034","140620","Exploration"
"1035","323612","Fantasy"
"1036","323612","Mythology"
"1037","297562","Ancient"
"1038","297562","Fighting"
"1039","297562","Miniatures"
"1040","297562","Mythology"
"1041","297562","Wargame"
"1042","351913","Renaissance"
"1043","239188","Adventure"
"1044","239188","Deduction"
"1045","239188","Murder / Mystery"
"1046","150145","Card Game"
"1047","150145","Nautical"
"1048","150145","Pirates"
"1049","127060","Dice"
"1050","295895","Card Game"
"1051","295895","Economic"
"1052","295895","Industry / Manufacturing"
"1053","204583","Abstract Strategy"
"1054","204583","Medieval"
"1055","204583","Puzzle"
"1056","204583","Territory Building"
"1057","298047","Card Game"
"1058","298047","Comic Book / Strip"
"1059","298047","Fighting"
"1060","298047","Miniatures"
"1061","385761","Card Game"
"1062","385761","Fantasy"
"1063","230253","Card Game"
"1064","230253","Fighting"
"1065","230253","Science Fiction"
"1066","760","Ancient"
"1067","760","Card Game"
"1068","27833","Economic"
"1069","27833","Trains"
"1070","27833","Transportation"
"1071","270633","Card Game"
"1072","270633","Fantasy"
"1073","270633","Science Fiction"
"1074","291572","Economic"
"1075","291572","Fantasy"
"1076","291572","Negotiation"
"1077","291572","Political"
"1078","291572","Territory Building"
"1079","291572","Wargame"
"1080","367220","Animals"
"1081","367220","Card Game"
"1082","367220","Nautical"
"1083","2655","Abstract Strategy"
"1084","2655","Animals"
"1085","144344","Age of Reason"
"1086","144344","Economic"
"1087","284189","Ancient"
"1088","284189","City Building"
"1089","284189","Economic"
"1090","400314","Animals"
"1091","400314","Science Fiction"
"1092","342070","Dice"
"1093","342070","Fighting"
"1094","342070","Miniatures"
"1095","342070","Racing"
"1096","302723","Adventure"
"1097","302723","Exploration"
"1098","302723","Fantasy"
"1099","302723","Nautical"
"1100","302723","Pirates"
"1101","302723","Travel"
"1102","246784","Deduction"
"1103","206718","Fantasy"
"1104","146508","Adventure"
"1105","146508","Puzzle"
"1106","146508","Science Fiction"
